team1,runs,Inn,overs,rpo,Date,result,team2,Ground
New Zealand,402,1,50,8.04,1 Jul 2008,won,Ireland,Aberdeen
Ireland,112,2,28.4,3.9,1 Jul 2008,lost,New Zealand,Aberdeen
Ireland,210,1,50,4.2,2 Jul 2008,lost,Scotland,Aberdeen
Scotland,211,2,47.3,4.44,2 Jul 2008,won,Ireland,Aberdeen
Scotland,101,1,33.2,3.03,3 Jul 2008,lost,New Zealand,Aberdeen
New Zealand,102,2,14.4,6.95,3 Jul 2008,won,Scotland,Aberdeen
Scotland,286,1,50,5.72,7 Jul 2009,lost,Canada,Aberdeen
Canada,287,2,48.4,5.89,7 Jul 2009,won,Scotland,Aberdeen
Canada,250,1,50,5,8 Jul 2009,lost,Scotland,Aberdeen
Scotland,253,2,47.2,5.34,8 Jul 2009,won,Canada,Aberdeen
Ireland,205,1,50,4.1,22 Aug 2009,won,Scotland,Aberdeen
Scotland,109,2,40.3,2.69,22 Aug 2009,lost,Ireland,Aberdeen
Scotland,255,1,50,5.1,28 Jun 2011,won,Netherlands,Aberdeen
Netherlands,240,2,49,4.89,28 Jun 2011,lost,Scotland,Aberdeen
Netherlands,180,1,50,3.6,29 Jun 2011,lost,Scotland,Aberdeen
Scotland,162,2,39.1,4.13,29 Jun 2011,won,Netherlands,Aberdeen
Scotland,242,1,50,4.84,30 Jun 2013,won,Kenya,Aberdeen
Kenya,230,2,49.1,4.67,30 Jun 2013,lost,Scotland,Aberdeen
Kenya,183,1,46.3,3.93,2 Jul 2013,lost,Scotland,Aberdeen
Scotland,139,2,33.4,4.12,2 Jul 2013,won,Kenya,Aberdeen
